Question,Answer 1,Answer 1 human likelihood,Answer 2,Answer 2 human likelihood,Answer 3,Answer 3 human likelihood,Answer 4,Answer 4 human likelihood,Answer 5,Answer 5 human likelihood,Answer 6,Answer 6 human likelihood,Answer 7,Answer 7 human likelihood,Answer 8,Answer 8 human likelihood,Answer 9,Answer 9 human likelihood
1. Name something that causes people to change seats at the movies.,Want better view,41,Noisy neighbors,30,Tall person in front,18,Dirty/sticky seat,6,Affectionate couple,4,,,,,,,,
Name something kids are taught about Abe Lincoln.,16th President,56,Honest,23,Tall,7,Abolitionist,6,Beard,5,,,,,,,,
What do people eat in the hospital?,Jell-O,46,Soup,28,Ice cream,12,Pudding,8,Apple sauce,6,,,,,,,,
Which North Pole resident is most likely to become jealous of Santa's power?,Elf,45,Jack Frost,31,Rudolph,14,Mrs. Claus,8,,,,,,,,,,
Where do you like to go barefoot?,Beach,43,Park,30,Shower,16,Bed,8,,,,,,,,,,
Name a US city with very aggressive drivers.,New York,54,Los Angeles,22,Chicago,19,Boston,3,,,,,,,,,,
Name a public place where it is ok to yell.,Park,46,Concert,19,Sports event,17,Amusement park,5,,,,,,,,,,
Name a crime that some people probably commit every day.,Speeding,62,Jaywalking,18,Littering,18,,,,,,,,,,,,
Name a game that would be inappropriate at a company party.,Spin the Bottle,41,Strip poker,32,Twister,11,Truth or dare,11,Beer pong,3,,,,,,,,
Name something tourists point up at.,Tall buildings,68,Statues/monuments,14,Mountains,6,,,,,,,,,,,,
"If a football player loses his cup, what might he put down his pants instead?",Socks,21,Towel,13,His hand,11,Shoulder/knee pad,10,Bowl,7,Padded bra,5,Toilet paper,5,Coconut/shell,4,,
Name something that could be made of gold in a billionaire's bathroom.,Toilet/seat,44,Faucet/sink,34,Shower/tub,16,Toilet paper/holder,3,Razor,2,,,,,,,,
"If a wedding took place in a deli, what might the guests throw instead of rice?",Bread/bagels,27,Meat/ham,25,Cheese,15,Seeds/rye/poppy,13,Lettuce,9,Pasta,9,,,,,,
"Name something that follows the word ""shark.""",Tank,35,Attack,31,Bait,23,Tale/tail,4,Week,4,,,,,,,,
A song might be a hit. Name something else that might be a hit.,Movie,44,TV show,21,Play,9,Dance,9,Book,8,Baseball/sport,6,,,,,,
Name something you don't want people to ask you for.,Money/donations,91,Age,3,Weight,2,Advice,2,,,,,,,,,,
Name a kind of dog you'd be surprised to see a chihuahua pick a fight with.,Pit bull,42,Great Dane,20,German Shepherd,14,Doberman,7,Rottweiler,7,Saint Bernard,7,,,,,,
"Tell me someone who might use the phrase ""Put your hands in the air.""",Cop,63,Rapper/singer/DJ,23,Robber,9,Gym instructor,3,,,,,,,,,,
Name something that some people refrigerate and some people don't.,Ketchup,40,Bread,25,Fruit,19,Peanut butter,14,,,,,,,,,,
"Name something a pig might be asking for when it says ""oink oink.""",Food,87,Drink/water,8,Love,2,Bath,2,,,,,,,,,,
Name an occupation in which you trust a woman more than a man.,Nurse,20,Doctor/Dentist,19,Beautician/Hair,9,Nanny/Day care,7,Teacher,6,Politician,5,Massage therapist,4,,,,
